PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;KODHN;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1;63314477;Andrena fulva;;Blanokøídlí;Koïousek Václav;20250423;20250423;;11186736;Sedlec;7266;Sedlec u Mikulova;-595989.48;-1206377.87;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;10;20250427
2;63219819;Andrena fulva;;Blanokøídlí;Ohryzek Jiøí;20250413;20250413;;11148156;Prasklice, NPP Køéby, Vinohrady;6769;Prasklice;-555449.69;-1155101.95;OHRYZEK J. (2025) Terénní zápisky - náhodná pozorování.;0;4;0;samice;;;;0;Xerotermní stráòka.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Ohryzek Jiøí;0;vìrohodnı záznam;;Návrh validace;;;;;;;;8;20250414;20250413;1115
3;63219633;Andrena fulva;;Blanokøídlí;Chobot Karel;20250413;20250413;;11148274;Únìtice 34;5852;Únìtice u Prahy;-746352.66;-1035402.58;CHOBOT K. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Chobot Karel;0;vìrohodnı záznam;;Návrh validace;;;;;;;;4;20250414;20250413;9
4;63214394;Andrena cineraria;;Blanokøídlí;Chobot Karel;20250410;20250410;;11144867;Konìprusy-Beroun 1, 11524;6050;Konìprusy;-769535.69;-1058388.85;CHOBOT K. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Chobot Karel;0;vìrohodnı záznam;;Návrh validace;;;;;;;;25;20250412;20250410;9
5;63211309;Andrena potentillae;pískorypka mochnová;Blanokøídlí;Koïousek Václav;20250410;20250410;;11142797;NPP Zlatı kùò;6050;Konìprusy;-770657.03;-1058417;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;VU;;;;30;20250411
6;63211308;Andrena cineraria;;Blanokøídlí;Koïousek Václav;20250410;20250410;;11142797;NPP Zlatı kùò;6050;Konìprusy;-770657.03;-1058417;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;samice;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;30;20250411
7;63211307;Andrena flavipes;;Blanokøídlí;Koïousek Václav;20250410;20250410;;11142797;NPP Zlatı kùò;6050;Konìprusy;-770657.03;-1058417;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samice;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;30;20250411
8;63195547;Andrena gravida;;Blanokøídlí;Koïousek Václav;20250402;20250402;;11131594;NPP Zlatı kùò;6050;Konìprusy;-770711.42;-1058465.52;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;3;0;jedinci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;50;20250407;20250406;33898
9;63195546;Andrena fulva;;Blanokøídlí;Koïousek Václav;20250402;20250402;;11131594;NPP Zlatı kùò;6050;Konìprusy;-770711.42;-1058465.52;KOÏOUSEK V. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Koïousek Václav;0;vìrohodnı záznam;;Návrh validace;;;;;;;;50;20250407;20250406;33898
10;63138448;Andrena cineraria;;Blanokøídlí;Ohryzek Jiøí;20250326;20250326;;11098708;Chvalnov, PP Pøehon;6869;Chvalnov;-552957.56;-1168208.6;OHRYZEK J. (2025) Terénní zápisky - náhodná pozorování.;0;4;0;samci;;;;0;Xerotermní stráòka.;;;;Mobilní sbìr dat;ND - Databáze BioLog;Ohryzek Jiøí;0;vìrohodnı záznam;;Návrh validace;;;;;;;;4;20250327;20250326;1115
