PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1;65085491;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlíèko Alois;20250815;20250815;;12564812;Zliv, 10579, louka s mysliveckım políèkem;6952;Zliv u Èeskıch Budìjovic;-761064.61;-1153988.27;PAVLÍÈKO A. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Pavlíèko Alois;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;15;20250818
2;65082309;Phengaris teleius;modrásek oèkovanı;Motıli;Martin Strnad, Zuzana Strnadová;20250725;20250725;;12562907;Malá Hraštice;6151;Mokrovraty;-759464.17;-1071608.21;STRNAD M. (2025) Terénní zápisky - náhodná pozorování.;0;36;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Strnad Martin;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;2;20250816
3;65068350;Phengaris teleius;modrásek oèkovanı;Motıli;Mückstein Petr;20250718;20250718;;12556539;Vortová, Silnice Bez Názvu;6261;Vortová;-640546.79;-1098857.08;MÜCKSTEIN P. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Mückstein Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;4;20250814
4;65065707;Phengaris teleius;modrásek oèkovanı;Motıli;Veèeøa Petr;20250811;20250811;10:59;12553852;Kašava;6672;Kašava;-511410.77;-1156946.27;VEÈEØA P. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Veèeøa Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;4;20250813;20250811;23832
5;65063090;Phengaris teleius;modrásek oèkovanı;Motıli;Lipárová Jana;20180703;20180703;;5491928;Záhoøí u Chrobol - PP Pod Ostrou horou;7050;Záhoøí u Chrobol;-783495.59;-1165983.73;Lipárová J. (2018) Zpráva z orientaèního prùzkumu fauny denních motılù PP Pod Ostrou horou.;0;;0;jedinci;1-10;;;;;0;Poèetnost: 5-10 ks.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Bodnár Tomáš;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;1;20250812
6;65062449;Phengaris teleius;modrásek oèkovanı;Motıli;Krajèa Michal;20250809;20250809;;12550685;Lopeník;7072;Lopeník;-514408.27;-1197441.29;KRAJÈA M. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Krajèa Michal;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;10;20250812
7;65057689;Phengaris teleius;modrásek oèkovanı;Motıli;Juøica Jan;20250808;20250808;10:41;12547060;Halenkov, Kuelky;6674;Halenkov;-484840.63;-1157911.22;JUØICA J. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;ojedinìle;;;;;0;na ploše cca 1 ha;;;;Mobilní sbìr dat;ND - Databáze BioLog;Juøica Jan;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;1;20250810;20250808;10481
8;65057681;Phengaris teleius;modrásek oèkovanı;Motıli;Juøica Jan;20250808;20250808;10:25;12547059;Halenkov, Kuelky;6674;Halenkov;-484910.03;-1157996.38;JUØICA J. (2025) Terénní zápisky - náhodná pozorování.;0;;1;;hojnì;;;;;0;na ploše cca 1 ha;;;;Mobilní sbìr dat;ND - Databáze BioLog;Juøica Jan;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;3;20250810;20250809;10481
9;65055025;Phengaris teleius;modrásek oèkovanı;Motıli;Talafous Josef;20250707;20250707;17:55;12544856;Skály, 398 11;6751;Skály u Protivína;-772549.29;-1136086;TALAFOUS J. (2025) Terénní zápisky - náhodná pozorování.;0;10;1;jedinci;;;;;;0;Samci i samice;;;;Mobilní sbìr dat;ND - Databáze BioLog;Talafous Josef;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;79;20250809
10;65054799;Phengaris teleius;modrásek oèkovanı;Motıli;Tlachaè Pavel;20250729;20250729;13:00;12544989;Trutnov-Trutnov 1;5361;Babí;-630636.31;-996363.1;TLACHAÈ P. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;samci;;;;;;0;na dlouhodobìji neobhospodaøované louce, pøesto stále relativnì kvìtnaté;;;;Mobilní sbìr dat;ND - Databáze BioLog;Tlachaè Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;48;20250809
11;65053598;Phengaris teleius;modrásek oèkovanı;Motıli;Patrnı Ladislav;20250804;20250804;18:38;12544977;Jetøichov;5363;Jetøichov;-605980.3;-1000433.3;PATRNİ L. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;;ojedinìle;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Patrnı Ladislav;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;10;20250809
12;65051105;Phengaris teleius;modrásek oèkovanı;Motıli;Petr Kafka;20250806;20250806;;12542971;Stárkov, 30118;5462;Stárkov;-614904.55;-1008713.65;KAFKA P. (2025) Terénní zápisky - náhodná pozorování.;0;3;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kafka Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;16;20250808;20250806;12509
13;65051103;Phengaris teleius;modrásek oèkovanı;Motıli;Petr Kafka;20250806;20250806;;12542970;Machov;5563;Machov;-605712.75;-1014333.04;KAFKA P. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kafka Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;8;20250808;20250806;12509
14;65051102;Phengaris teleius;modrásek oèkovanı;Motıli;Petr Kafka;20250806;20250806;;12542969;Machov;5563;Machov;-605694.81;-1014463.11;KAFKA P. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kafka Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;16;20250808;20250806;12509
15;65051101;Phengaris teleius;modrásek oèkovanı;Motıli;Petr Kafka;20250806;20250806;;12542968;Machov;5563;Machov;-605759.27;-1014390.99;KAFKA P. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kafka Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;8;20250808;20250806;12509
16;65051098;Phengaris teleius;modrásek oèkovanı;Motıli;Petr Kafka;20250806;20250806;;12542967;Machov;5563;Machov;-605613.86;-1014446.68;KAFKA P. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kafka Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;8;20250808;20250806;12509
17;65051096;Phengaris teleius;modrásek oèkovanı;Motıli;Petr Kafka;20250806;20250806;;12542966;Machov;5563;Machov;-605554.38;-1014592.07;KAFKA P. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kafka Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;4;20250808;20250806;12509
18;65047781;Phengaris teleius;modrásek oèkovanı;Motıli;Waldhauser Martin;20250806;20250806;;12540957;Dubnice;5254;Dubnice pod Ralskem;-705404.15;-977964.06;WALDHAUSER M. (2025) Terénní zápisky - náhodná pozorování.;0;1;0;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Waldhauser Martin;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;4;20250807;20250806;1150
19;65045061;Phengaris teleius;modrásek oèkovanı;Motıli;Petr Kafka;20250805;20250805;;12538628;Šonov-Šonov u Broumova, Silnice Bez Názvu;5464;Šonov u Broumova;-596676.34;-1006906.05;KAFKA P. (2025) Terénní zápisky - náhodná pozorování.;0;2;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kafka Petr;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;8;20250806;20250805;12509
20;64701106;Phengaris teleius;modrásek oèkovanı;Motıli;Vácha Tomáš;20250720;20250720;;12293527;Drahany;6567;Drahany;-574992.66;-1138384.83;VÁCHA T. (2025) Terénní zápisky - náhodná pozorování.;0;;0;imaga;roztroušenì;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Vácha Tomáš;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;8;20250804
21;64701091;Phengaris teleius;modrásek oèkovanı;Motıli;Vácha Tomáš;20250720;20250720;;12293527;Drahany;6567;Drahany;-574992.66;-1138384.83;VÁCHA T. (2025) Terénní zápisky - náhodná pozorování.;0;;0;imaga;hojnì;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Vácha Tomáš;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;8;20250804
22;64699816;Phengaris teleius;modrásek oèkovanı;Motıli;Vácha Tomáš;20250719;20250719;;12293497;Javorník-Velká nad Velièkou;7171;Javorník nad Velièkou;-531985.41;-1205183.4;VÁCHA T. (2025) Terénní zápisky - náhodná pozorování.;0;;0;imaga;1-10;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Vácha Tomáš;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;5;20250804
23;64698559;Phengaris teleius;modrásek oèkovanı;Motıli;Klimes Jiri;20250717;20250717;;12293499;Machov;5563;Machov;-605614.53;-1014432.81;KLIMEŠ J. (2025) Terénní zápisky - náhodná pozorování.;0;1;1;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Klimeš jiøí;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;16;20250804
24;64697190;Phengaris teleius;modrásek oèkovanı;Motıli;Lukáš Spitzer;20250802;20250802;;12291851;Halenkov;6674;Halenkov;-487641.53;-1153965.38;SPITZER L. (2025) Terénní zápisky - náhodná pozorování.;0;25;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Spitzer Lukáš;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;16;20250803;20250802;2139
25;64697101;Phengaris teleius;modrásek oèkovanı;Motıli;Lukáš Spitzer;20250729;20250729;;12291841;Rajnochovice;6672;Rajnochovice;-508626.19;-1149372.02;SPITZER L. (2025) Terénní zápisky - náhodná pozorování.;0;12;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Spitzer Lukáš;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;6;20250803
26;64697094;Phengaris teleius;modrásek oèkovanı;Motıli;Lukáš Spitzer;20250726;20250726;;12291837;Novı Hrozenkov;6675;Novı Hrozenkov;-479596.54;-1158376.87;SPITZER L. (2025) Terénní zápisky - náhodná pozorování.;0;5;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Spitzer Lukáš;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;5;20250803
27;64697084;Phengaris teleius;modrásek oèkovanı;Motıli;Lukáš Spitzer;20250725;20250725;;12291836;Halenkov;6674;Halenkov;-485055.98;-1153591.51;SPITZER L. (2025) Terénní zápisky - náhodná pozorování.;0;30;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Spitzer Lukáš;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;16;20250803
