DRUH;celkem_sitmap_0;sitmap_0_plne_inat;procento_0_plne_inat;celkem_1_sitmap;sitmap_1_plne_inat;procento_1_plne_inat;REDLIST
Andrena marginata;1;1;100,00000000000000;1;1;100,00000000000000;EN
Andrena fulva;84;40;47,61904761904761;105;53;50,47619047619047;
Halictus scabiosae;89;45;50,56179775280899;111;56;50,45045045045045;
Bombus ruderatus;10;5;50,00000000000000;10;5;50,00000000000000;CR
Andrena cineraria;89;41;46,06741573033708;111;53;47,74774774774775;
Osmia rufa;62;28;45,16129032258064;72;34;47,22222222222222;
Bombus pascuorum;277;102;36,82310469314080;425;175;41,17647058823529;
Bombus hypnorum;107;41;38,31775700934579;130;53;40,76923076923077;
Bombus pratorum;149;60;40,26845637583892;201;80;39,80099502487563;
Osmia cornuta;48;17;35,41666666666667;65;23;35,38461538461539;EN
Andrena clarkella;6;2;33,33333333333333;6;2;33,33333333333333;
Andrena hattorfiana;46;17;36,95652173913043;56;18;32,14285714285715;EN
Andrena vaga;27;9;33,33333333333333;28;9;32,14285714285715;VU
Andrena agilissima;25;7;28,00000000000000;28;9;32,14285714285715;VU
Bombus lapidarius;272;61;22,42647058823529;422;116;27,48815165876777;
Andrena haemorrhoa;46;12;26,08695652173913;51;14;27,45098039215686;
Osmia bicolor;41;10;24,39024390243902;50;13;26,00000000000000;
Halictus kessleri;4;1;25,00000000000000;4;1;25,00000000000000;
Bombus campestris;37;9;24,32432432432433;42;10;23,80952380952381;
Bombus vestalis;31;6;19,35483870967742;34;8;23,52941176470588;
Bombus rupestris;95;22;23,15789473684211;115;27;23,47826086956522;
Bombus lucorum;138;33;23,91304347826087;175;40;22,85714285714286;
Andrena florivaga;7;2;28,57142857142857;9;2;22,22222222222222;
Bombus hortorum;110;23;20,90909090909091;133;29;21,80451127819549;
Bombus terrestris;337;57;16,91394658753709;553;119;21,51898734177215;
Bombus humilis;33;8;24,24242424242424;38;8;21,05263157894737;
Bombus sylvarum;97;15;15,46391752577320;119;20;16,80672268907563;
