DRUH;celkem_sitmap_0;sitmap_0_plne_inat;procento_0_plne_inat;celkem_1_sitmap;sitmap_1_plne_inat;procento_1_plne_inat;KAT_TAX;REDLIST
Andrena marginata;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;EN
Andrena viridescens;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;NT
Bombylius venosus;1;1;100,00000000000000;1;1;100,00000000000000;Dvoukøídlí;NA
Megalodontes thor;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;EN
Pasites maculatus;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;RE
Tetralonia malvae;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;VU
Bombylius discolor;3;2;66,66666666666666;3;2;66,66666666666666;Dvoukøídlí;NA
Bombylius major;27;14;51,85185185185185;30;16;53,33333333333334;Dvoukøídlí;NA
Megalodontes panzeri;6;3;50,00000000000000;6;3;50,00000000000000;Blanokøídlí;EN
Andrena clarkella;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;
Anthophora retusa;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;CR
Bombus confusus;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;CR
Halictus confusus;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;
Halictus kessleri;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;
Megalodontes plagiocephalus;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;VU
Halictus scabiosae;13;4;30,76923076923077;15;5;33,33333333333333;Blanokøídlí;
Andrena florivaga;3;1;33,33333333333333;3;1;33,33333333333333;Blanokøídlí;
Andrena fulva;14;3;21,42857142857143;15;4;26,66666666666667;Blanokøídlí;
Bombus pratorum;18;5;27,77777777777778;20;5;25,00000000000000;Blanokøídlí;
Bombus pascuorum;44;10;22,72727272727273;49;12;24,48979591836735;Blanokøídlí;
Andrena labiata;5;1;20,00000000000000;5;1;20,00000000000000;Blanokøídlí;
Messor structor;5;1;20,00000000000000;5;1;20,00000000000000;Blanokøídlí;EN
Andrena cineraria;16;3;18,75000000000000;16;3;18,75000000000000;Blanokøídlí;
Bombus rupestris;18;3;16,66666666666666;18;3;16,66666666666666;Blanokøídlí;
Andrena haemorrhoa;6;1;16,66666666666666;6;1;16,66666666666666;Blanokøídlí;
Halictus quadricinctus;6;1;16,66666666666666;6;1;16,66666666666666;Blanokøídlí;NT
Bombus lapidarius;52;8;15,38461538461539;55;9;16,36363636363636;Blanokøídlí;
Bombus sylvarum;14;2;14,28571428571428;14;2;14,28571428571428;Blanokøídlí;
Bombus ruderarius;7;1;14,28571428571428;7;1;14,28571428571428;Blanokøídlí;
Osmia rufa;7;1;14,28571428571428;8;1;12,50000000000000;Blanokøídlí;
Andrena vaga;8;1;12,50000000000000;8;1;12,50000000000000;Blanokøídlí;VU
Andrena wilkella;8;1;12,50000000000000;8;1;12,50000000000000;Blanokøídlí;
Osmia bicolor;8;1;12,50000000000000;8;1;12,50000000000000;Blanokøídlí;
Bombus campestris;8;1;12,50000000000000;9;1;11,11111111111111;Blanokøídlí;
Bombus terrestris;55;5;9,09090909090909;60;6;10,00000000000000;Blanokøídlí;
Bombus hortorum;20;2;10,00000000000000;20;2;10,00000000000000;Blanokøídlí;
Halictus subauratus;11;1;9,09090909090909;12;1;8,33333333333333;Blanokøídlí;
Bombus lucorum;26;2;7,69230769230769;27;2;7,40740740740741;Blanokøídlí;
Scolia sexmaculata;13;1;7,69230769230769;14;1;7,14285714285714;Blanokøídlí;VU
Lucanus cervus;85;1;1,17647058823529;130;4;3,07692307692308;Brouci;VU
Cucujus cinnaberinus;118;0;0,00000000000000;150;0;0,00000000000000;Brouci;VU
Cerambyx cerdo;30;0;0,00000000000000;47;0;0,00000000000000;Brouci;EN
Bombus sp.;20;0;0,00000000000000;21;0;0,00000000000000;Blanokøídlí;
Andrena flavipes;13;0;0,00000000000000;13;0;0,00000000000000;Blanokøídlí;
Bombus bohemicus;12;0;0,00000000000000;12;0;0,00000000000000;Blanokøídlí;
Halictus tumulorum;12;0;0,00000000000000;12;0;0,00000000000000;Blanokøídlí;
Andrena gravida;11;0;0,00000000000000;11;0;0,00000000000000;Blanokøídlí;
Halictus simplex;11;0;0,00000000000000;11;0;0,00000000000000;Blanokøídlí;
Liometopum microcephalum;7;0;0,00000000000000;11;0;0,00000000000000;Blanokøídlí;VU
Formica picea;8;0;0,00000000000000;9;0;0,00000000000000;Blanokøídlí;VU
Andrena minutula;8;0;0,00000000000000;8;0;0,00000000000000;Blanokøídlí;
Bombus vestalis;8;0;0,00000000000000;8;0;0,00000000000000;Blanokøídlí;
Halictus maculatus;8;0;0,00000000000000;8;0;0,00000000000000;Blanokøídlí;
Myrmilla calva;8;0;0,00000000000000;8;0;0,00000000000000;Blanokøídlí;VU
Andrena labialis;7;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;NT
Andrena nigroaenea;7;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;
Andrena ovatula;7;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;DD
Bombus hypnorum;7;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;
Osmia aurulenta;6;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;
Andrena fulvago;6;0;0,00000000000000;6;0;0,00000000000000;Blanokøídlí;
Andrena helvola;6;0;0,00000000000000;6;0;0,00000000000000;Blanokøídlí;
Andrena hattorfiana;5;0;0,00000000000000;5;0;0,00000000000000;Blanokøídlí;EN
Andrena minutuloides;5;0;0,00000000000000;5;0;0,00000000000000;Blanokøídlí;
Halictus sexcinctus;5;0;0,00000000000000;5;0;0,00000000000000;Blanokøídlí;
Andrena dorsata;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;
Andrena potentillae;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;VU
Andrena praecox;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;
Andrena subopaca;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;
Bombus jonellus;3;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;VU
Bombus soroeensis;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;NT
Bombus sylvestris;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;
Ceropales variegata;3;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;CR
Chalicodoma parietina;2;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;CR
Episyron arrogans;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;VU
Halictus rubicundus;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;
Ammophila campestris;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;VU
Ancistrocerus parietum;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;VU
Andrena aeneiventris;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;RE
Andrena bicolor;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena carantonica;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena falsifica;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena lagopus;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena nitida;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena strohmella;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Bembix tarsata;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;EN
Bombus barbutellus;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;NT
Bombus humilis;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Didineis crassicornis;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;VU
