DRUH;celkem_sitmap_0;sitmap_0_plne_inat;procento_0_plne_inat;celkem_1_sitmap;sitmap_1_plne_inat;procento_1_plne_inat;KAT_TAX;REDLIST
Andrena marginata;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;EN
Andrena viridescens;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;NT
Megalodontes thor;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;EN
Pasites maculatus;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;RE
Tetralonia malvae;1;1;100,00000000000000;1;1;100,00000000000000;Blanokøídlí;VU
Andrena clarkella;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;
Anthophora retusa;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;CR
Bombus confusus;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;CR
Halictus confusus;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;
Halictus kessleri;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;
Megalodontes panzeri;6;3;50,00000000000000;6;3;50,00000000000000;Blanokøídlí;EN
Megalodontes plagiocephalus;2;1;50,00000000000000;2;1;50,00000000000000;Blanokøídlí;VU
Andrena florivaga;3;1;33,33333333333333;3;1;33,33333333333333;Blanokøídlí;
Halictus scabiosae;13;4;30,76923076923077;15;5;33,33333333333333;Blanokøídlí;
Andrena fulva;14;3;21,42857142857143;15;4;26,66666666666667;Blanokøídlí;
Bombus pratorum;18;5;27,77777777777778;20;5;25,00000000000000;Blanokøídlí;
Bombus pascuorum;44;10;22,72727272727273;49;12;24,48979591836735;Blanokøídlí;
Andrena labiata;5;1;20,00000000000000;5;1;20,00000000000000;Blanokøídlí;
Messor structor;5;1;20,00000000000000;5;1;20,00000000000000;Blanokøídlí;EN
Andrena cineraria;16;3;18,75000000000000;16;3;18,75000000000000;Blanokøídlí;
Andrena haemorrhoa;6;1;16,66666666666666;6;1;16,66666666666666;Blanokøídlí;
Bombus rupestris;18;3;16,66666666666666;18;3;16,66666666666666;Blanokøídlí;
Halictus quadricinctus;6;1;16,66666666666666;6;1;16,66666666666666;Blanokøídlí;NT
Bombus lapidarius;52;8;15,38461538461539;55;9;16,36363636363636;Blanokøídlí;
Bombus ruderarius;7;1;14,28571428571428;7;1;14,28571428571428;Blanokøídlí;
Bombus sylvarum;14;2;14,28571428571428;14;2;14,28571428571428;Blanokøídlí;
Osmia rufa;7;1;14,28571428571428;8;1;12,50000000000000;Blanokøídlí;
Andrena vaga;8;1;12,50000000000000;8;1;12,50000000000000;Blanokøídlí;VU
Andrena wilkella;8;1;12,50000000000000;8;1;12,50000000000000;Blanokøídlí;
Osmia bicolor;8;1;12,50000000000000;8;1;12,50000000000000;Blanokøídlí;
Bombus campestris;8;1;12,50000000000000;9;1;11,11111111111111;Blanokøídlí;
Bombus hortorum;20;2;10,00000000000000;20;2;10,00000000000000;Blanokøídlí;
Bombus terrestris;55;5;9,09090909090909;60;6;10,00000000000000;Blanokøídlí;
Halictus subauratus;11;1;9,09090909090909;12;1;8,33333333333333;Blanokøídlí;
Bombus lucorum;26;2;7,69230769230769;27;2;7,40740740740741;Blanokøídlí;
Scolia sexmaculata;13;1;7,69230769230769;14;1;7,14285714285714;Blanokøídlí;VU
Lucanus cervus;85;1;1,17647058823529;130;4;3,07692307692308;Brouci;VU
Abia nitens;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;VU
Agenioideus nubecula;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Allodynerus rossii;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Ammophila campestris;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;VU
Ancistrocerus antilope;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;EN
Ancistrocerus parietum;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;VU
Ancistrocerus renimacula;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Andrena aeneiventris;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;RE
Andrena argentata;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;NT
Andrena barbilabris;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;
Andrena bicolor;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena bimaculata;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;NT
Andrena carantonica;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena chrysopyga;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;VU
Andrena chrysosceles;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;
Andrena coitana;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;RE
Andrena combinata;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;EN
Andrena curvungula;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Andrena distinguenda;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;EN
Andrena dorsata;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;
Andrena falsifica;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena ferox;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;EN
Andrena flavipes;13;0;0,00000000000000;13;0;0,00000000000000;Blanokøídlí;
Andrena floricola;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Andrena fucata;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;
Andrena fulvago;6;0;0,00000000000000;6;0;0,00000000000000;Blanokøídlí;
Andrena fulvicornis;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;
Andrena gravida;11;0;0,00000000000000;11;0;0,00000000000000;Blanokøídlí;
Andrena hattorfiana;5;0;0,00000000000000;5;0;0,00000000000000;Blanokøídlí;EN
Andrena helvola;6;0;0,00000000000000;6;0;0,00000000000000;Blanokøídlí;
Andrena humilis;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;
Andrena impunctata;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Andrena intermedia;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;
Andrena labialis;7;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;NT
Andrena lagopus;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena lapponica;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;
Andrena lathyri;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;NT
Andrena minutula;8;0;0,00000000000000;8;0;0,00000000000000;Blanokøídlí;
Andrena minutuloides;5;0;0,00000000000000;5;0;0,00000000000000;Blanokøídlí;
Andrena mitis;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;NT
Andrena morawitzi;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Andrena nigriceps;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;EN
Andrena nigroaenea;7;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;
Andrena nitida;3;0;0,00000000000000;3;0;0,00000000000000;Blanokøídlí;
Andrena ovatula;7;0;0,00000000000000;7;0;0,00000000000000;Blanokøídlí;DD
Andrena pandellei;2;0;0,00000000000000;2;0;0,00000000000000;Blanokøídlí;NT
Andrena paucisquama;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;VU
Andrena pilipes;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;NT
Andrena polita;1;0;0,00000000000000;1;0;0,00000000000000;Blanokøídlí;NT
Andrena potentillae;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;VU
Andrena praecox;4;0;0,00000000000000;4;0;0,00000000000000;Blanokøídlí;
